repo_name,watch,fork,star
appearhere/bloom,12,9,51
Slazanger/SMT,12,9,45
jungmannlab/picasso,14,13,36
ikben/troposphere,1,0,0
terrafx/terrafx,10,8,40
KLIANS/chenguoliang.github.io,1,1,0
klenin/cats-main,10,28,30
cloudfoundry/java-buildpack,103,2585,367
dgraph-io/badger,244,593,7451
project-oak/oak,29,36,528
flacon/flacon,17,19,190
Sucuri/sucuri-wordpress-plugin,9,24,37
MacPass/MacPass,223,391,5349
ngageoint/geopackage-mapcache-ios,17,7,19
edertone/TurboDepot,1,0,1
cixtor/sucuri-wordpress-plugin,1,2,0
paulbrzeski/kamigen,1,0,0
oragono/oragono,27,58,881
stonewell/wxglterm,2,4,8
lkorigin/laniakea,3,4,9
ecmadao/hacknical,33,113,1356
ros-agriculture/ros-agriculture.github.io,12,1,11
PreibischLab/BigStitcher,8,11,27
kiboit/phast,3,0,20
MichaelB7/pgn-extract,4,3,9
luongchung/luongchung.github.io,0,1,0
RadicalFx/Radical.Windows,5,2,2
rei/rei-cedar,33,11,57
badoo/Chatto,120,559,4059
chrisj42/minicraft-plus-revived,26,32,91
DaveAckley/T2-12,2,0,5
stoodkev/SteemPlus,6,29,27
KabOOm356/Reporter,1,1,1
janvernieuwe/grumphp,1,0,0
splunk/splunk-sdk-python,96,266,441
redhat-cip/dci-control-server,26,8,14
GumTreeDiff/gumtree,25,102,369
google/go-containerregistry,28,143,606
inkle/ink,119,266,2099
cogstat/cogstat,2,3,4
akveo/react-native-ui-kitten,126,694,6101
deepmind/sonnet,469,1199,8277
cloudfoundry-community/jboss-buildpack,17,28,13
intracer/scalawiki,5,11,24
MTDdk/jawn,3,1,9
Strider-CD/strider,132,434,4405
spel-uchile/SUCHAI-Flight-Software,20,9,14
alphagov/transition,86,11,5
OData/odataorg.github.io,34,84,44
frdl/webfan,1,0,0
openfarmcc/OpenFarm,62,175,692
Rebilly/rebilly-php,25,17,11
OpenNumismat/open-numismat,8,10,27
mate-desktop/mate-terminal,21,53,76
puppetlabs/pxp-agent,153,48,15
Colinax/Fraggy-Backend-Theme,2,1,0
Yubico/yubico-piv-tool,41,61,145
tardis-sn/tardis,28,225,87
jaruba/PowderPlayer,49,95,514
cessen/psychopath,15,4,107
Softmotions/iowow,9,8,179
AlmasB/FXGLGames,13,110,198
mtaylor-semo/163,1,0,0
jsingh41/jsingh41.github.io,1,3,2
cloudtools/troposphere,195,1251,4047
mmbell/samurai,7,3,5
datacite/bracco,2,2,5
CityOfZion/neon-wallet,113,324,1017
EtlamGit/minutor,1,0,0
xfce-mirror/parole,0,4,7
twisted/axiom,8,14,14
lou1306/lou1306.github.io,1,0,0
rsolomakhin/rsolomakhin.github.io,8,33,16
mrkite/minutor,22,39,144
XoopsModules25x/tdmdownloads,10,5,3
mariospr/frogr,1,0,0
GNOME/frogr,2,2,11
gentoo-mirror/gentoo-zh,4,1,3
matus-chochlik/various,2,0,0
z4kn4fein/stashbox,10,8,75
beyondgrep/ack3,13,27,205
Syncplay/syncplay,29,87,595
katef/libfsm,16,20,144
agrc/deq-enviro,7,1,3
goodpaperman/apue,1,0,0
JimSeker/googleplayAPI,3,6,6
phanan/koel,343,1388,11274
Gekkio/mooneye-gb,35,25,477
AltSchool/django-allauth,25,0,0
rogerturner/HTM-scheme,4,0,6
DemocracyLab/CivicTechExchange,25,16,28
FAForever/faf-java-api,7,22,12
textlint/textlint,42,83,1566
openSUSE/linuxrc,23,33,9
sdaubert/packetgen,9,7,69
HewlettPackard/oneview-puppet,13,8,8
ControlzEx/ControlzEx,44,68,425
getpatchwork/patchwork,18,49,153
OskarStark/EasyAdminBundle,0,0,0
xieguigang/SMRUCC.WebCloud,1,1,1
wwmm/pulseeffects,65,91,1361
mwales/education,1,0,0
richardcornish/richardcornish,1,0,0
fifilyu/fifilyu.github.io,2,0,0
dokku/dokku,389,1539,18886
liqd/adhocracy4,15,5,51
kzampog/cilantro,35,91,394
magnetophon/.dot,1,0,1
zettsu-t/cPlusPlusFriend,1,1,7
